regime,trading_days,mean_return,std_return,sharpe,hit_rate
BTC_DOMINANT,2,0.006783313779351291,0.17068750195843213,0.03974112750799555,0.5
ALT_SEASON,16,0.1996518873677779,0.15915905296992552,1.254417412281938,0.9375
TRANSITION,200,-0.16956730404712694,1.047506802257465,-0.16187704335828196,0.685
OVERALL,218,-0.140850752220102,1.0087852127957861,-0.1396241245742915,0.7018348623853211
